frame_number,timestamp,class_name,class_id,confidence,x1,y1,x2,y2,box_width,box_height,frame_width,frame_height
343,90.859,remote,65,0.6881,251,0,513,305,262,305,640,480
344,91.078,person,0,0.7654,0,6,484,479,484,473,640,480
344,91.078,remote,65,0.7524,257,0,518,310,261,310,640,480
345,91.283,remote,65,0.7638,264,0,518,314,254,314,640,480
345,91.283,person,0,0.6235,197,16,578,479,381,463,640,480
345,91.283,person,0,0.5359,0,8,256,479,256,471,640,480
346,91.518,person,0,0.6894,0,5,509,478,509,473,640,480
346,91.518,remote,65,0.648,275,0,519,317,244,317,640,480
347,91.75,person,0,0.7603,0,12,538,479,538,467,640,480
347,91.75,remote,65,0.6053,287,2,526,325,239,323,640,480
348,91.97,person,0,0.6882,0,13,286,479,286,466,640,480
349,92.192,person,0,0.6698,0,11,600,479,600,468,640,480
350,92.42,person,0,0.7818,0,8,541,479,541,471,640,480
350,92.42,remote,65,0.7153,311,15,555,351,244,336,640,480
351,92.634,person,0,0.8004,0,9,550,479,550,470,640,480
352,92.865,person,0,0.8159,0,10,551,479,551,469,640,480
352,92.865,remote,65,0.797,315,19,562,355,247,336,640,480
353,93.106,person,0,0.8144,0,15,552,479,552,464,640,480
353,93.106,remote,65,0.6734,313,21,562,358,249,337,640,480
354,93.336,person,0,0.7927,0,10,549,479,549,469,640,480
355,93.556,person,0,0.7465,0,9,543,479,543,470,640,480
355,93.556,remote,65,0.6089,308,15,556,355,248,340,640,480
356,93.775,person,0,0.7052,0,11,548,478,548,467,640,480
356,93.775,remote,65,0.6944,307,17,555,354,248,337,640,480
356,93.775,person,0,0.5266,285,163,573,480,288,317,640,480
357,93.983,person,0,0.754,0,8,555,479,555,471,640,480
357,93.983,remote,65,0.5778,311,19,557,354,246,335,640,480
358,94.228,person,0,0.8008,0,10,555,479,555,469,640,480
358,94.228,remote,65,0.6572,314,20,563,357,249,337,640,480
359,94.457,person,0,0.7784,0,11,573,479,573,468,640,480
360,94.681,person,0,0.7521,0,12,568,479,568,467,640,480
361,94.898,person,0,0.7658,0,13,576,479,576,466,640,480
362,95.122,person,0,0.7364,0,11,576,479,576,468,640,480
362,95.122,person,0,0.5173,295,173,571,480,276,307,640,480
363,95.329,person,0,0.8121,0,10,569,479,569,469,640,480
364,95.574,person,0,0.7266,1,12,562,479,561,467,640,480
364,95.574,remote,65,0.6608,311,21,566,364,255,343,640,480
364,95.574,person,0,0.5269,289,173,570,480,281,307,640,480
365,95.815,person,0,0.6368,1,8,565,479,564,471,640,480
366,96.034,person,0,0.6175,1,8,551,479,550,471,640,480
367,96.231,person,0,0.6213,1,9,550,479,549,470,640,480
368,96.416,person,0,0.5533,0,8,544,479,544,471,640,480
368,96.416,person,0,0.5496,284,172,578,479,294,307,640,480
369,96.616,person,0,0.7878,0,9,547,479,547,470,640,480
370,96.818,person,0,0.6113,1,12,612,479,611,467,640,480
371,97.023,person,0,0.6372,2,5,574,478,572,473,640,480
372,97.224,person,0,0.5352,2,6,578,478,576,472,640,480
373,97.422,person,0,0.6122,2,8,596,479,594,471,640,480
374,97.644,person,0,0.6063,1,8,570,479,569,471,640,480
375,97.868,person,0,0.8077,0,18,549,479,549,461,640,480
376,98.072,person,0,0.6545,0,7,597,479,597,472,640,480
377,98.265,person,0,0.7929,0,6,513,479,513,473,640,480
377,98.265,remote,65,0.6771,293,31,555,377,262,346,640,480
378,98.464,person,0,0.8114,0,5,514,479,514,474,640,480
378,98.464,remote,65,0.7468,294,33,553,379,259,346,640,480
379,98.66,remote,65,0.7964,292,34,552,378,260,344,640,480
379,98.66,person,0,0.7879,0,4,511,479,511,475,640,480
380,98.863,person,0,0.7834,0,11,495,479,495,468,640,480
380,98.863,remote,65,0.7545,292,34,553,378,261,344,640,480
380,98.863,person,0,0.5377,265,180,576,480,311,300,640,480
381,99.105,remote,65,0.8692,292,34,552,374,260,340,640,480
381,99.105,person,0,0.8217,0,11,505,479,505,468,640,480
382,99.373,person,0,0.8116,0,3,519,479,519,476,640,480
382,99.373,remote,65,0.5812,296,34,554,379,258,345,640,480
383,99.649,person,0,0.8225,0,10,506,479,506,469,640,480
383,99.649,remote,65,0.6527,294,34,554,380,260,346,640,480
384,99.915,person,0,0.8068,0,9,493,479,493,470,640,480
384,99.915,remote,65,0.6931,290,36,552,381,262,345,640,480
385,100.172,remote,65,0.7866,290,33,552,378,262,345,640,480
385,100.172,person,0,0.7845,0,11,499,479,499,468,640,480
385,100.172,person,0,0.6071,263,179,577,480,314,301,640,480
386,100.454,remote,65,0.8658,291,32,552,378,261,346,640,480
386,100.454,person,0,0.7925,0,13,491,479,491,466,640,480
387,100.896,person,0,0.8122,0,10,491,479,491,469,640,480
387,100.896,remote,65,0.7772,288,31,550,376,262,345,640,480
388,101.197,remote,65,0.8669,292,34,552,378,260,344,640,480
388,101.197,person,0,0.847,0,13,505,479,505,466,640,480
389,101.428,person,0,0.8029,0,5,512,479,512,474,640,480
389,101.428,remote,65,0.7923,290,34,552,377,262,343,640,480
390,101.747,person,0,0.8045,0,5,521,479,521,474,640,480
390,101.747,remote,65,0.8039,287,35,551,381,264,346,640,480
390,101.747,person,0,0.508,263,181,576,479,313,298,640,480
391,102.096,person,0,0.5744,0,6,585,479,585,473,640,480
392,102.349,person,0,0.873,0,9,485,479,485,470,640,480
393,102.594,person,0,0.856,0,6,536,479,536,473,640,480
394,102.87,person,0,0.6464,0,10,571,479,571,469,640,480
395,103.171,person,0,0.8121,0,8,551,480,551,472,640,480
396,103.471,person,0,0.7578,0,3,591,480,591,477,640,480
397,103.762,person,0,0.64,4,0,615,479,611,479,640,480
398,104.069,person,0,0.8138,5,4,584,479,579,475,640,480
399,104.807,person,0,0.8255,5,4,626,479,621,475,640,480
